===== Log Analysis Report =====
Date of Analysis: 2026-02-16
Log File: sample_log.log
Total Lines Processed: 500
Total Error Count: 85

--- Top 5 Error Messages ---
      1 [ERROR] Segmentation fault - 770
      1 [ERROR] Segmentation fault - 6554
      1 [ERROR] Segmentation fault - 5672
      1 [ERROR] Segmentation fault - 4755
      1 [ERROR] Segmentation fault - 29707

--- Critical Events ---
5:2026-02-16 19:17:41 [CRITICAL]  - 25047
7:2026-02-16 19:17:41 [CRITICAL]  - 21129
14:2026-02-16 19:17:41 [CRITICAL]  - 1238
23:2026-02-16 19:17:41 [CRITICAL]  - 30815
26:2026-02-16 19:17:41 [CRITICAL]  - 31790
29:2026-02-16 19:17:41 [CRITICAL]  - 21873
31:2026-02-16 19:17:41 [CRITICAL]  - 231
33:2026-02-16 19:17:41 [CRITICAL]  - 5718
38:2026-02-16 19:17:41 [CRITICAL]  - 25829
48:2026-02-16 19:17:41 [CRITICAL]  - 5781
56:2026-02-16 19:17:41 [CRITICAL]  - 15605
66:2026-02-16 19:17:41 [CRITICAL]  - 9545
69:2026-02-16 19:17:41 [CRITICAL]  - 22110
74:2026-02-16 19:17:41 [CRITICAL]  - 919
77:2026-02-16 19:17:41 [CRITICAL]  - 24951
79:2026-02-16 19:17:41 [CRITICAL]  - 23247
98:2026-02-16 19:17:41 [CRITICAL]  - 14300
103:2026-02-16 19:17:41 [CRITICAL]  - 15568
109:2026-02-16 19:17:41 [CRITICAL]  - 9814
112:2026-02-16 19:17:41 [CRITICAL]  - 17042
114:2026-02-16 19:17:41 [CRITICAL]  - 13102
117:2026-02-16 19:17:41 [CRITICAL]  - 11243
118:2026-02-16 19:17:41 [CRITICAL]  - 26461
136:2026-02-16 19:17:41 [CRITICAL]  - 13575
156:2026-02-16 19:17:41 [CRITICAL]  - 8797
157:2026-02-16 19:17:41 [CRITICAL]  - 19411
165:2026-02-16 19:17:41 [CRITICAL]  - 1542
168:2026-02-16 19:17:41 [CRITICAL]  - 27910
172:2026-02-16 19:17:41 [CRITICAL]  - 16985
175:2026-02-16 19:17:41 [CRITICAL]  - 14629
178:2026-02-16 19:17:41 [CRITICAL]  - 22912
179:2026-02-16 19:17:41 [CRITICAL]  - 27039
180:2026-02-16 19:17:41 [CRITICAL]  - 29858
196:2026-02-16 19:17:41 [CRITICAL]  - 12466
228:2026-02-16 19:17:41 [CRITICAL]  - 15571
231:2026-02-16 19:17:41 [CRITICAL]  - 7056
233:2026-02-16 19:17:41 [CRITICAL]  - 22198
237:2026-02-16 19:17:41 [CRITICAL]  - 20271
239:2026-02-16 19:17:41 [CRITICAL]  - 31728
243:2026-02-16 19:17:41 [CRITICAL]  - 26468
251:2026-02-16 19:17:41 [CRITICAL]  - 7255
254:2026-02-16 19:17:41 [CRITICAL]  - 21194
255:2026-02-16 19:17:41 [CRITICAL]  - 25168
256:2026-02-16 19:17:41 [CRITICAL]  - 12358
258:2026-02-16 19:17:41 [CRITICAL]  - 26466
260:2026-02-16 19:17:41 [CRITICAL]  - 14950
262:2026-02-16 19:17:41 [CRITICAL]  - 12821
265:2026-02-16 19:17:41 [CRITICAL]  - 9856
269:2026-02-16 19:17:41 [CRITICAL]  - 23088
273:2026-02-16 19:17:41 [CRITICAL]  - 12822
277:2026-02-16 19:17:41 [CRITICAL]  - 96
278:2026-02-16 19:17:41 [CRITICAL]  - 5509
280:2026-02-16 19:17:41 [CRITICAL]  - 10303
282:2026-02-16 19:17:41 [CRITICAL]  - 9308
291:2026-02-16 19:17:41 [CRITICAL]  - 5578
292:2026-02-16 19:17:41 [CRITICAL]  - 2383
296:2026-02-16 19:17:41 [CRITICAL]  - 28173
299:2026-02-16 19:17:41 [CRITICAL]  - 10064
301:2026-02-16 19:17:41 [CRITICAL]  - 25424
302:2026-02-16 19:17:41 [CRITICAL]  - 30551
303:2026-02-16 19:17:41 [CRITICAL]  - 2622
308:2026-02-16 19:17:42 [CRITICAL]  - 3784
314:2026-02-16 19:17:42 [CRITICAL]  - 18296
315:2026-02-16 19:17:42 [CRITICAL]  - 22261
322:2026-02-16 19:17:42 [CRITICAL]  - 13483
324:2026-02-16 19:17:42 [CRITICAL]  - 15763
327:2026-02-16 19:17:42 [CRITICAL]  - 14022
338:2026-02-16 19:17:42 [CRITICAL]  - 20621
339:2026-02-16 19:17:42 [CRITICAL]  - 275
341:2026-02-16 19:17:42 [CRITICAL]  - 23515
354:2026-02-16 19:17:42 [CRITICAL]  - 30820
355:2026-02-16 19:17:42 [CRITICAL]  - 1768
368:2026-02-16 19:17:42 [CRITICAL]  - 23378
372:2026-02-16 19:17:42 [CRITICAL]  - 5153
376:2026-02-16 19:17:42 [CRITICAL]  - 19348
395:2026-02-16 19:17:42 [CRITICAL]  - 25699
399:2026-02-16 19:17:42 [CRITICAL]  - 17447
406:2026-02-16 19:17:42 [CRITICAL]  - 17073
422:2026-02-16 19:17:42 [CRITICAL]  - 3104
427:2026-02-16 19:17:42 [CRITICAL]  - 5903
429:2026-02-16 19:17:42 [CRITICAL]  - 17165
430:2026-02-16 19:17:42 [CRITICAL]  - 16193
435:2026-02-16 19:17:42 [CRITICAL]  - 18688
442:2026-02-16 19:17:42 [CRITICAL]  - 30860
446:2026-02-16 19:17:42 [CRITICAL]  - 22107
452:2026-02-16 19:17:42 [CRITICAL]  - 17231
455:2026-02-16 19:17:42 [CRITICAL]  - 12828
456:2026-02-16 19:17:42 [CRITICAL]  - 12596
476:2026-02-16 19:17:42 [CRITICAL]  - 21386
478:2026-02-16 19:17:42 [CRITICAL]  - 22156
479:2026-02-16 19:17:42 [CRITICAL]  - 11297
482:2026-02-16 19:17:42 [CRITICAL]  - 20083
483:2026-02-16 19:17:42 [CRITICAL]  - 19369
485:2026-02-16 19:17:42 [CRITICAL]  - 24339
487:2026-02-16 19:17:42 [CRITICAL]  - 14179
495:2026-02-16 19:17:42 [CRITICAL]  - 11856
497:2026-02-16 19:17:42 [CRITICAL]  - 12500
